l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1600,6849,106,4,25,43896.00,0.00,0.06,A,F,1993-05-25,1993-04-07,1993-06-05,TAKE BACK RETURN         ,REG AIR   ,press packages. ironic excuses bo
1600,14605,606,5,30,45588.00,0.03,0.08,R,F,1993-06-03,1993-05-03,1993-06-07,DELIVER IN PERSON        ,RAIL      ,al escapades alongside of the depo
1601,16616,617,1,6,9195.66,0.00,0.00,A,F,1994-10-19,1994-09-28,1994-10-23,COLLECT COD              ,SHIP      , bold sheaves. furiously per
1601,17438,240,2,50,67771.50,0.03,0.02,R,F,1994-12-24,1994-10-23,1995-01-11,COLLECT COD              ,FOB       ,ideas doubt
1601,8989,248,3,14,26571.72,0.04,0.08,R,F,1994-09-17,1994-11-22,1994-10-03,DELIVER IN PERSON        ,RAIL      ,"he special, fin"
1602,18281,282,1,4,4797.12,0.08,0.06,R,F,1993-10-31,1993-09-05,1993-11-21,NONE                     ,RAIL      ,y. even excuses
1603,3820,580,1,1,1723.82,0.08,0.00,R,F,1993-08-17,1993-09-04,1993-08-22,TAKE BACK RETURN         ,REG AIR   ,d accounts. special warthogs use fur
1603,6521,778,2,29,41398.08,0.06,0.08,A,F,1993-09-28,1993-09-20,1993-10-28,NONE                     ,SHIP      ,ses wake furiously. theodolite
1604,4157,158,1,15,15917.25,0.09,0.08,R,F,1993-09-22,1993-09-03,1993-09-29,TAKE BACK RETURN         ,MAIL      , instructions haggle
1604,14042,571,2,37,35373.48,0.06,0.06,A,F,1993-08-22,1993-09-21,1993-09-10,COLLECT COD              ,SHIP      ,requests. blithely ironic somas s
1604,11322,584,3,19,23433.08,0.09,0.07,A,F,1993-10-15,1993-10-04,1993-11-09,COLLECT COD              ,RAIL      , ideas. bol
1604,17424,959,4,15,20121.30,0.03,0.00,R,F,1993-09-10,1993-08-31,1993-09-30,TAKE BACK RETURN         ,RAIL      ,"ending realms along the special, p"
1604,2010,767,5,23,20976.23,0.08,0.05,A,F,1993-10-11,1993-08-30,1993-10-18,DELIVER IN PERSON        ,RAIL      ,en requests. blithely fin
1605,14183,976,1,47,51567.46,0.00,0.01,N,O,1998-04-29,1998-06-12,1998-05-20,DELIVER IN PERSON        ,AIR       ,. carefully r
1605,17970,772,2,18,33983.46,0.10,0.00,N,O,1998-05-13,1998-06-17,1998-06-03,COLLECT COD              ,REG AIR   ,ly regular foxes wake carefully. bol
1605,5855,856,3,39,68673.15,0.02,0.03,N,O,1998-07-12,1998-06-05,1998-08-09,DELIVER IN PERSON        ,MAIL      ,nal dependencies-- quickly final frets acc
1605,18258,63,4,25,29406.25,0.06,0.02,N,O,1998-05-26,1998-06-14,1998-06-05,COLLECT COD              ,AIR       ,ole carefully car
1606,11409,410,1,21,27728.40,0.04,0.00,N,O,1997-06-02,1997-07-02,1997-06-27,DELIVER IN PERSON        ,RAIL      , pending theodolites prom
1606,17357,892,2,35,44602.25,0.00,0.02,N,O,1997-06-20,1997-06-19,1997-06-22,COLLECT COD              ,TRUCK     ,carefully sil
1606,9948,726,3,23,42732.62,0.00,0.06,N,O,1997-04-19,1997-06-26,1997-04-30,NONE                     ,MAIL      ,ously final requests. slowly ironic ex
1606,9629,889,4,20,30772.40,0.02,0.04,N,O,1997-05-01,1997-05-26,1997-05-28,TAKE BACK RETURN         ,TRUCK     ,fily carefu
1606,7019,534,5,14,12964.14,0.10,0.01,N,O,1997-05-19,1997-07-05,1997-06-10,COLLECT COD              ,FOB       ,structions haggle f
1607,18914,719,1,2,3665.82,0.02,0.00,N,O,1996-01-11,1996-02-15,1996-01-19,DELIVER IN PERSON        ,MAIL      ,packages haggle. regular requests boost s
1607,11893,155,2,37,66780.93,0.05,0.02,N,O,1996-02-27,1996-02-18,1996-03-16,NONE                     ,AIR       ,alongside 
1607,12268,269,3,39,46030.14,0.00,0.00,N,O,1996-02-01,1996-02-12,1996-02-16,NONE                     ,FOB       ,uches cajole. accounts ar
1607,7559,817,4,34,49862.70,0.05,0.06,N,O,1996-01-06,1996-02-24,1996-01-10,DELIVER IN PERSON        ,SHIP      , quickly above the 
1607,17795,63,5,48,82213.92,0.00,0.05,N,O,1996-02-22,1996-02-13,1996-03-09,TAKE BACK RETURN         ,MAIL      ,ular forges. deposits a
1632,19052,860,1,47,45639.35,0.08,0.00,N,O,1997-01-25,1997-02-09,1997-02-19,TAKE BACK RETURN         ,RAIL      ,g to the closely special no
1632,14792,585,2,14,23895.06,0.08,0.05,N,O,1997-01-15,1997-02-25,1997-01-28,NONE                     ,RAIL      ,oxes. deposits nag slyly along the slyly 
1632,17617,152,3,47,72126.67,0.03,0.04,N,O,1997-01-29,1997-03-03,1997-02-21,NONE                     ,MAIL      ,sts. blithely regular 
1632,5617,383,4,33,50246.13,0.09,0.02,N,O,1997-04-01,1997-02-24,1997-04-29,TAKE BACK RETURN         ,REG AIR   ,ructions! slyly
1632,14108,901,5,43,43950.30,0.10,0.03,N,O,1997-02-24,1997-02-19,1997-03-25,DELIVER IN PERSON        ,FOB       ,"ts. blithe, bold ideas cajo"
1633,17791,326,1,35,59807.65,0.01,0.02,N,O,1996-01-09,1995-12-02,1996-01-21,COLLECT COD              ,REG AIR   ,ly against the dolph
1633,413,414,2,15,19701.15,0.00,0.05,N,O,1995-12-13,1995-11-13,1996-01-04,TAKE BACK RETURN         ,FOB       ,ges wake fluffil
1634,4707,708,1,21,33845.70,0.00,0.00,N,O,1996-10-04,1996-10-22,1996-11-01,NONE                     ,MAIL      ,counts alo
1634,17164,165,2,44,47571.04,0.05,0.01,N,O,1996-09-17,1996-11-09,1996-10-03,COLLECT COD              ,SHIP      ,requests affix slyly. quickly even pack
1634,1857,858,3,21,36935.85,0.06,0.07,N,O,1996-11-16,1996-10-21,1996-11-27,NONE                     ,TRUCK     ,y along the excuses.
1634,6747,516,4,17,28113.58,0.08,0.07,N,O,1996-10-29,1996-10-15,1996-11-02,TAKE BACK RETURN         ,SHIP      ,"cial, bold platelets alongside of the f"
1634,7591,592,5,2,2997.18,0.07,0.04,N,O,1996-11-22,1996-10-28,1996-12-17,NONE                     ,SHIP      ,ly. carefully regular asymptotes wake
1634,16969,236,6,11,20745.56,0.01,0.08,N,O,1996-10-04,1996-12-06,1996-10-14,DELIVER IN PERSON        ,SHIP      ,final requests 
1634,1242,494,7,35,40013.40,0.06,0.02,N,O,1996-11-25,1996-11-25,1996-12-12,TAKE BACK RETURN         ,RAIL      ,"cies. regular, special de"
1635,7017,275,1,3,2772.03,0.06,0.08,N,O,1997-03-13,1997-03-25,1997-03-27,COLLECT COD              ,FOB       , quickly ironic r
1635,8902,903,2,8,14487.20,0.04,0.05,N,O,1997-04-30,1997-04-21,1997-05-09,DELIVER IN PERSON        ,AIR       ,ravely carefully express 
1635,11380,381,3,20,25827.60,0.07,0.01,N,O,1997-05-19,1997-04-01,1997-06-17,TAKE BACK RETURN         ,FOB       ,oost according to the carefully even accou
